County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates
"Trigg County, Kentucky(7)",21221,Urban,21.3 ,5,*,*
"Taylor County, Wisconsin(6)",55119,Rural,21.2 ,6,*,*
"Milwaukee County, Wisconsin(6)",55079,Urban,21.2 ,215,rising,2.0 
"Lamar County, Georgia(7)",13171,Rural,21.2 ,5,*,*
"Calhoun County, Texas(7)",48057,Rural,21.2 ,5,stable,-0.3 
"Clay County, Missouri(6)",29047,Urban,21.2 ,60,stable,0.8 
"Allen County, Kentucky(7)",21003,Urban,21.2 ,6,stable,1.0 
"Auglaize County, Ohio(6)",39011,Rural,21.2 ,14,rising,5.1 
"Harrison County, Texas(7)",48203,Urban,21.2 ,18,stable,0.1 
"Shelby County, Kentucky(7)",21211,Urban,21.2 ,12,stable,3.5 
"Washington County, Nebraska(6)",31177,Urban,21.2 ,6,stable,2.2 
"Sebastian County, Arkansas(6)",5131,Urban,21.2 ,33,rising,2.4 
"Hoke County, North Carolina(6)",37093,Urban,21.2 ,10,stable,0.8 
"Benton County, Iowa(7)",19011,Urban,21.2 ,8,stable,0.2 
"Lee County, Texas(7)",48287,Rural,21.2 ,5,*,*
"Monroe County, Ohio(6)",39111,Rural,21.1 ,4,stable,3.2 
"Mercer County, Ohio(6)",39107,Rural,21.1 ,11,stable,2.5 
"Brantley County, Georgia(7)",13025,Urban,21.1 ,4,*,*
"Chippewa County, Michigan(6)",26033,Rural,21.1 ,10,stable,1.7 
"Bourbon County, Kentucky(7)",21017,Urban,21.1 ,6,stable,2.1 
"Koochiching County, Minnesota(6)",27071,Rural,21.1 ,4,stable,0.1 
"Marengo County, Alabama(6)",1091,Rural,21.1 ,5,stable,3.8 
"Medina County, Texas(7)",48325,Urban,21.1 ,13,stable,1.9 
"Crawford County, Georgia(7)",13079,Urban,21.1 ,4,*,*
"Yadkin County, North Carolina(6)",37197,Urban,21.1 ,11,stable,-0.3 
"Page County, Virginia(6)",51139,Rural,21.1 ,7,*,*
"Habersham County, Georgia(7)",13137,Rural,21.1 ,12,rising,3.8 
"Cameron County, Texas(7)",48061,Urban,21.1 ,88,rising,2.6 
"Kootenai County, Idaho(7)",16055,Urban,21.1 ,47,rising,2.4 
"Todd County, Minnesota(6)",27153,Rural,21.1 ,8,stable,3.9 
"Monroe County, Illinois(7)",17133,Urban,21.1 ,10,stable,0.6 
"Duplin County, North Carolina(6)",37061,Rural,21.1 ,14,stable,1.9 
"White County, Tennessee(6)",47185,Rural,21,8,stable,3.0 
"Payne County, Oklahoma(6)",40119,Rural,21,15,stable,0.9 
"Kaufman County, Texas(7)",48257,Urban,21,29,stable,0.8 
"St. James Parish, Louisiana(7)",22093,Urban,21,6,*,*
"Marlboro County, South Carolina(6)",45069,Rural,21,7,stable,2.6 
"Kenai Peninsula Borough, Alaska(6)",2122,Rural,21,16,stable,0.1 
"Banks County, Georgia(7)",13011,Rural,21,5,*,*
"Big Horn County, Wyoming(6)",56003,Rural,21,3,*,*
"Lea County, New Mexico(7)",35025,Rural,21,15,stable,1.6 
"Silver Bow County, Montana(6)",30093,Rural,21,10,stable,2.5 
"Butler County, Ohio(6)",39017,Urban,21,94,rising,1.7 
"Taylor County, Kentucky(7)",21217,Rural,21,7,stable,0.9 
"Brazoria County, Texas(7)",48039,Urban,21,80,rising,1.3 
"Jefferson County, Kentucky(7)",21111,Urban,21,199,stable,-0.6 
"Johnson County, Kentucky(7)",21115,Rural,21,7,stable,2.4 
"Kershaw County, South Carolina(6)",45055,Urban,21,17,rising,3.5 
"Jackson County, Oklahoma(6)",40065,Rural,21,6,stable,0.3 
"Massac County, Illinois(7)",17127,Urban,21,4,*,*
"Madison County, Iowa(7)",19121,Urban,21,5,*,*
"Cocke County, Tennessee(6)",47029,Rural,21,11,stable,2.7 
"Kossuth County, Iowa(7)",19109,Rural,21,5,stable,1.7 
"Sauk County, Wisconsin(6)",55111,Rural,20.9 ,19,rising,3.7 
"Bradley County, Arkansas(6)",5011,Rural,20.9 ,3,*,*
"Polk County, Arkansas(6)",5113,Rural,20.9 ,6,*,*
"Pueblo County, Colorado(6)",8101,Urban,20.9 ,45,stable,4.1 
"Winnebago County, Illinois(7)",17201,Urban,20.9 ,75,rising,2.6 
"Aroostook County, Maine(6)",23003,Rural,20.9 ,23,stable,2.3 
"Jackson County, Georgia(7)",13157,Rural,20.9 ,18,rising,3.0 
"Jones County, Georgia(7)",13169,Urban,20.9 ,8,stable,2.8 
"Beaufort County, North Carolina(6)",37013,Rural,20.9 ,14,stable,2.1 
"Polk County, North Carolina(6)",37149,Rural,20.9 ,6,*,*
"Walker County, Alabama(6)",1127,Urban,20.9 ,18,stable,1.6 
"Gallia County, Ohio(6)",39053,Rural,20.9 ,8,stable,4.3 
"Calhoun County, Mississippi(6)",28013,Rural,20.9 ,4,stable,-0.8 
"Linn County, Iowa(7)",19113,Urban,20.9 ,57,rising,2.5 
"Wood County, Wisconsin(6)",55141,Rural,20.9 ,22,stable,-1.3 
"Cumberland County, Tennessee(6)",47035,Rural,20.9 ,22,stable,2.4 
"Seneca County, New York(7)",36099,Rural,20.9 ,10,stable,1.1 
"Polk County, Iowa(7)",19153,Urban,20.9 ,109,rising,2.1 
"Brown County, Wisconsin(6)",55009,Urban,20.9 ,66,stable,1.2 
"Chenango County, New York(7)",36017,Rural,20.9 ,15,stable,2.4 
"Sheboygan County, Wisconsin(6)",55117,Urban,20.8 ,32,rising,2.7 
"Winneshiek County, Iowa(7)",19191,Rural,20.8 ,6,*,*
"Vernon County, Wisconsin(6)",55123,Urban,20.8 ,9,rising,3.6 
"Goodhue County, Minnesota(6)",27049,Rural,20.8 ,14,rising,3.9 
"Alcorn County, Mississippi(6)",28003,Rural,20.8 ,9,stable,1.7 
"Bay County, Michigan(6)",26017,Urban,20.8 ,30,stable,2.5 
"Davison County, South Dakota(6)",46035,Rural,20.8 ,5,stable,2.5 
"Martin County, North Carolina(6)",37117,Rural,20.8 ,7,stable,0.7 
"Wayne County, New York(7)",36117,Urban,20.8 ,27,rising,3.1 
"Ware County, Georgia(7)",13299,Rural,20.8 ,9,stable,1.5 
"Montgomery County, Tennessee(6)",47125,Urban,20.8 ,39,stable,2.2 
"Pickens County, Alabama(6)",1107,Urban,20.8 ,6,stable,3.2 
"Mobile County, Alabama(6)",1097,Urban,20.8 ,103,rising,2.7 
"Hidalgo County, Texas(7)",48215,Urban,20.8 ,157,rising,2.2 
"Rowan County, North Carolina(6)",37159,Urban,20.8 ,40,stable,1.0 
"Westmoreland County, Virginia(6)",51193,Rural,20.8 ,6,*,*
"Shelby County, Iowa(7)",19165,Rural,20.8 ,4,*,*
"Orange County, Virginia(6)",51137,Rural,20.7 ,11,stable,0.3 
"Gulf County, Florida(6)",12045,Rural,20.7 ,5,*,*
"Orange County, Texas(7)",48361,Urban,20.7 ,21,stable,-1.8 
"Richland County, Illinois(7)",17159,Rural,20.7 ,4,*,*
"Madison County, Tennessee(6)",47113,Urban,20.7 ,25,stable,0.4 
"Macon County, Missouri(6)",29121,Rural,20.7 ,5,stable,0.8 
"Faribault County, Minnesota(6)",27043,Rural,20.7 ,4,stable,2.7 
"Hawkins County, Tennessee(6)",47073,Urban,20.7 ,16,rising,4.8 
"Otter Tail County, Minnesota(6)",27111,Rural,20.7 ,20,rising,3.3 
"Henry County, Georgia(7)",13151,Urban,20.7 ,52,rising,2.0 
"Levy County, Florida(6)",12075,Urban,20.7 ,13,stable,-0.6 
"Crawford County, Ohio(6)",39033,Rural,20.7 ,12,stable,2.1 
"Marshall County, West Virginia(6)",54051,Urban,20.7 ,8,stable,-6.8 
"Galveston County, Texas(7)",48167,Urban,20.7 ,82,stable,1.2 
"Campbell County, Tennessee(6)",47013,Urban,20.7 ,12,stable,0.9 
"Northumberland County, Virginia(6)",51133,Rural,20.7 ,5,stable,3.8 
"Bonneville County, Idaho(7)",16019,Urban,20.6 ,25,rising,2.5 
"Coffee County, Alabama(6)",1031,Rural,20.6 ,13,stable,2.6 
"Person County, North Carolina(6)",37145,Urban,20.6 ,12,stable,-0.8 
"Piatt County, Illinois(7)",17147,Urban,20.6 ,5,stable,2.4 
"Douglas County, Georgia(7)",13097,Urban,20.6 ,30,stable,1.4 
"Randall County, Texas(7)",48381,Urban,20.6 ,33,rising,2.7 
"Caddo Parish, Louisiana(7)",22017,Urban,20.6 ,63,rising,1.9 
"Henry County, Alabama(6)",1067,Urban,20.6 ,6,stable,3.2 
"Georgetown County, South Carolina(6)",45043,Rural,20.6 ,21,rising,3.8 
"Webster County, Iowa(7)",19187,Rural,20.6 ,10,stable,2.0 
"Grundy County, Illinois(7)",17063,Urban,20.6 ,12,stable,1.1 
"Weakley County, Tennessee(6)",47183,Rural,20.6 ,8,rising,4.0 
"Grayson County, Kentucky(7)",21085,Rural,20.6 ,7,stable,3.1 
"DeSoto County, Mississippi(6)",28033,Urban,20.6 ,41,stable,-9.9 
"Jefferson County, Montana(6)",30043,Urban,20.6 ,4,*,*
"Sampson County, North Carolina(6)",37163,Rural,20.6 ,16,stable,2.2 
"Menominee County, Michigan(6)",26109,Rural,20.6 ,7,*,*
"Mason County, Illinois(7)",17125,Rural,20.6 ,4,stable,7.9 
"Middlesex County, Virginia(6)",51119,Rural,20.5 ,4,*,*
"Eastland County, Texas(7)",48133,Rural,20.5 ,6,*,*
"Matanuska-Susitna Borough, Alaska(6)",2170,Urban,20.5 ,23,stable,1.1 
"McDuffie County, Georgia(7)",13189,Urban,20.5 ,6,*,*
"Cayuga County, New York(7)",36011,Rural,20.5 ,23,stable,0.8 
"Cedar County, Missouri(6)",29039,Rural,20.5 ,5,*,*
"Copiah County, Mississippi(6)",28029,Urban,20.5 ,8,stable,1.0 
"Shiawassee County, Michigan(6)",26155,Rural,20.5 ,19,stable,0.9 
"Dillon County, South Carolina(6)",45033,Rural,20.5 ,7,stable,0.6 
"Wilson County, North Carolina(6)",37195,Rural,20.5 ,22,stable,1.6 
"Clark County, Ohio(6)",39023,Urban,20.5 ,36,rising,2.7 
"Washington County, Pennsylvania(6)",42125,Urban,20.5 ,60,rising,1.8 
"Schuyler County, New York(7)",36097,Rural,20.5 ,5,stable,3.3 
"Curry County, Oregon(6)",41015,Rural,20.5 ,9,stable,2.6 
"Adams County, Ohio(6)",39001,Rural,20.5 ,7,stable,2.9 
"Richland County, Wisconsin(6)",55103,Rural,20.5 ,6,stable,0.3 
"Madison County, Mississippi(6)",28089,Urban,20.5 ,26,stable,2.3 
"McCreary County, Kentucky(7)",21147,Rural,20.5 ,4,*,*
"Bedford County, Tennessee(6)",47003,Rural,20.5 ,12,stable,2.3 
"Rankin County, Mississippi(6)",28121,Urban,20.5 ,37,stable,-7.3 
"Richmond County, New York(7)",36085,Urban,20.4 ,125,rising,1.4 
"Troup County, Georgia(7)",13285,Rural,20.4 ,16,rising,3.1 
"Henderson County, Texas(7)",48213,Rural,20.4 ,25,stable,0.2 
"Garland County, Arkansas(6)",5051,Urban,20.4 ,30,rising,2.6 
"Barton County, Missouri(6)",29011,Rural,20.4 ,3,*,*
"Benton County, Tennessee(6)",47005,Rural,20.4 ,5,*,*
"Freeborn County, Minnesota(6)",27047,Rural,20.4 ,9,stable,3.5 
"Steele County, Minnesota(6)",27147,Rural,20.4 ,10,stable,0.4 
"Shelby County, Tennessee(6)",47157,Urban,20.4 ,208,falling,-8.9 
"Chautauqua County, New York(7)",36013,Rural,20.4 ,35,rising,2.4 
"Putnam County, Ohio(6)",39137,Rural,20.4 ,9,*,*
"Greene County, Tennessee(6)",47059,Rural,20.4 ,20,rising,4.4 
"Woodward County, Oklahoma(6)",40153,Rural,20.4 ,5,*,*
"Hempstead County, Arkansas(6)",5057,Rural,20.4 ,5,stable,0.0 
"Kent County, Maryland(6)",24029,Rural,20.4 ,6,stable,2.5 
"Coweta County, Georgia(7)",13077,Urban,20.4 ,35,stable,1.7 
"Dodge County, Wisconsin(6)",55027,Rural,20.4 ,24,stable,1.4 
"Lumpkin County, Georgia(7)",13187,Urban,20.4 ,8,rising,27.5 
"Delta County, Michigan(6)",26041,Rural,20.3 ,10,rising,5.3 
"Telfair County, Georgia(7)",13271,Rural,20.3 ,3,*,*
"Lee County, South Carolina(6)",45061,Rural,20.3 ,4,*,*
"Halifax County, North Carolina(6)",37083,Rural,20.3 ,14,stable,2.7 
"Cherokee County, Alabama(6)",1019,Rural,20.3 ,7,stable,0.7 
"Northampton County, Pennsylvania(6)",42095,Urban,20.3 ,85,stable,1.4 
"Jasper County, Iowa(7)",19099,Urban,20.3 ,10,*,*
"Redwood County, Minnesota(6)",27127,Rural,20.3 ,4,stable,3.2 
"Clare County, Michigan(6)",26035,Rural,20.3 ,10,stable,1.3 
"St. Louis County, Minnesota(6)",27137,Urban,20.3 ,56,rising,2.4 
"Franklin County, Vermont(6)",50011,Urban,20.3 ,13,stable,-0.3 
"Brunswick County, North Carolina(6)",37019,Urban,20.3 ,50,rising,2.1 
"Richmond County, North Carolina(6)",37153,Rural,20.3 ,12,stable,2.6 
"Lincoln County, North Carolina(6)",37109,Urban,20.3 ,23,stable,0.2 
"Putnam County, Tennessee(6)",47141,Rural,20.3 ,19,stable,2.6 
"Jo Daviess County, Illinois(7)",17085,Rural,20.3 ,7,stable,1.9 
"Haralson County, Georgia(7)",13143,Urban,20.3 ,7,rising,4.8 
"Oneida County, New York(7)",36065,Urban,20.3 ,63,stable,1.2 
"Fannin County, Georgia(7)",13111,Rural,20.3 ,9,rising,3.6 
"Sevier County, Arkansas(6)",5133,Rural,20.3 ,4,*,*
"Kandiyohi County, Minnesota(6)",27067,Rural,20.3 ,12,stable,1.8 
"Unicoi County, Tennessee(6)",47171,Urban,20.2 ,5,stable,1.6 
"Clermont County, Ohio(6)",39025,Urban,20.2 ,53,stable,1.5 
"Carteret County, North Carolina(6)",37031,Rural,20.2 ,22,stable,0.9 
"Pemiscot County, Missouri(6)",29155,Rural,20.2 ,4,*,*
"Gaston County, North Carolina(6)",37071,Urban,20.2 ,56,stable,0.8 
"Watauga County, North Carolina(6)",37189,Rural,20.2 ,11,stable,1.9 
"Franklin County, Missouri(6)",29071,Urban,20.2 ,28,stable,0.0 
"Willacy County, Texas(7)",48489,Rural,20.2 ,4,*,*
"Hernando County, Florida(6)",12053,Urban,20.2 ,64,stable,1.6 
"East Feliciana Parish, Louisiana(7)",22037,Urban,20.2 ,6,stable,1.4 
"Coos County, Oregon(6)",41011,Rural,20.2 ,21,stable,0.9 
"Bibb County, Alabama(6)",1007,Urban,20.2 ,6,falling,-18.2 
"Murray County, Oklahoma(6)",40099,Rural,20.2 ,4,*,*
"Suwannee County, Florida(6)",12121,Rural,20.2 ,12,stable,1.4 
"Benton County, Arkansas(6)",5007,Urban,20.2 ,60,rising,4.7 
"Smith County, Mississippi(6)",28129,Rural,20.2 ,5,stable,4.2 
"St. Charles County, Missouri(6)",29183,Urban,20.2 ,97,stable,0.1 
"Bonner County, Idaho(7)",16017,Rural,20.2 ,16,stable,-1.0 
"Juniata County, Pennsylvania(6)",42067,Rural,20.2 ,7,stable,3.6 
"Morgan County, Georgia(7)",13211,Urban,20.2 ,5,*,*
"Cannon County, Tennessee(6)",47015,Urban,20.2 ,4,*,*
"Tarrant County, Texas(7)",48439,Urban,20.2 ,418,rising,0.8 
"Essex County, Virginia(6)",51057,Rural,20.2 ,3,*,*
"Franklin County, North Carolina(6)",37069,Urban,20.2 ,18,rising,4.3 
"Jackson County, Arkansas(6)",5067,Rural,20.1 ,4,stable,0.5 
"Adams County, Washington(6)",53001,Rural,20.1 ,4,*,*
"Kenton County, Kentucky(7)",21117,Urban,20.1 ,39,stable,1.3 
"Morrison County, Minnesota(6)",27097,Rural,20.1 ,10,stable,0.5 
"Marshall County, Kentucky(7)",21157,Rural,20.1 ,10,stable,1.0 
"Lauderdale County, Tennessee(6)",47097,Rural,20.1 ,6,rising,4.7 
"Bolivar County, Mississippi(6)",28011,Rural,20.1 ,8,stable,-4.3 
"Sumner County, Tennessee(6)",47165,Urban,20.1 ,48,stable,0.9 
"Scotts Bluff County, Nebraska(6)",31157,Rural,20.1 ,9,stable,0.7 
"Wythe County, Virginia(6)",51197,Rural,20.1 ,8,rising,7.0 
"Buchanan County, Iowa(7)",19019,Rural,20.1 ,5,stable,2.0 
"Schuylkill County, Pennsylvania(6)",42107,Rural,20.1 ,41,rising,2.4 
"Jefferson County, Tennessee(6)",47089,Urban,20.1 ,15,*,*
"Clinton County, Ohio(6)",39027,Rural,20.1 ,11,*,*
"Lamar County, Mississippi(6)",28073,Urban,20.1 ,15,stable,1.2 
"Hockley County, Texas(7)",48219,Urban,20.1 ,4,stable,-0.8 
"Ray County, Missouri(6)",29177,Urban,20.1 ,6,stable,-1.3 
"Miller County, Missouri(6)",29131,Rural,20.1 ,6,stable,0.7 
"Washington County, Georgia(7)",13303,Rural,20,5,*,*
"Douglas County, Illinois(7)",17041,Rural,20,5,stable,0.8 
"Henderson County, Kentucky(7)",21101,Rural,20,12,stable,1.0 
"Stevens County, Washington(6)",53065,Urban,20,13,stable,2.3 
"Cattaraugus County, New York(7)",36009,Rural,20,21,rising,2.4 
"Albany County, New York(7)",36001,Urban,20,77,rising,2.6 
"Vermilion County, Illinois(7)",17183,Rural,20,21,stable,2.0 
"Raleigh County, West Virginia(6)",54081,Urban,20,20,stable,2.4 
"Hall County, Georgia(7)",13139,Urban,20,46,rising,1.6 
"Cook County, Georgia(7)",13075,Rural,20,4,stable,-3.5 
"Chisago County, Minnesota(6)",27025,Urban,20,14,rising,11.8 
"Barrow County, Georgia(7)",13013,Urban,20,18,stable,3.9 
"Marshall County, Iowa(7)",19127,Rural,20,10,rising,1.8 
"Wilson County, Tennessee(6)",47189,Urban,20,35,rising,12.3 
"Haywood County, North Carolina(6)",37087,Rural,20,19,stable,3.0 
"Forsyth County, North Carolina(6)",37067,Urban,20,92,stable,-0.1 
"Northampton County, Virginia(6)",51131,Rural,20,4,*,*
"St. Louis City, Missouri(6)",29510,Urban,20,68,stable,0.7 
"Lauderdale County, Alabama(6)",1077,Urban,20,24,stable,2.4 
"Hancock County, Mississippi(6)",28045,Urban,20,13,stable,0.4 
"Montgomery County, Ohio(6)",39113,Urban,20,134,rising,2.1 
"Roscommon County, Michigan(6)",26143,Rural,20,8,stable,-10.7 
"Fulton County, Illinois(7)",17057,Rural,20,10,stable,2.2 
"Bertie County, North Carolina(6)",37015,Rural,19.9 ,5,stable,0.7 
"Chesapeake City, Virginia(6)",51550,Urban,19.9 ,54,rising,2.0 
"Scott County, Iowa(7)",19163,Urban,19.9 ,43,rising,1.8 
"Dubuque County, Iowa(7)",19061,Urban,19.9 ,25,rising,2.2 
"Deaf Smith County, Texas(7)",48117,Rural,19.9 ,4,*,*
"Oconto County, Wisconsin(6)",55083,Urban,19.9 ,11,stable,1.0 
"Union County, South Carolina(6)",45087,Urban,19.9 ,8,stable,0.3 
"Knox County, Maine(6)",23013,Rural,19.9 ,14,rising,4.3 
"Johnson County, Missouri(6)",29101,Rural,19.9 ,10,stable,1.6 
"Colquitt County, Georgia(7)",13071,Rural,19.9 ,11,rising,3.2 
"Limestone County, Alabama(6)",1083,Urban,19.9 ,24,stable,2.5 
"Richmond City, Virginia(6)",51760,Urban,19.9 ,47,stable,1.2 
"Morgan County, Colorado(6)",8087,Rural,19.9 ,7,stable,3.5 
"Waseca County, Minnesota(6)",27161,Rural,19.8 ,5,stable,0.8 
"Niagara County, New York(7)",36063,Urban,19.8 ,58,stable,2.1 
"Wayne County, Georgia(7)",13305,Rural,19.8 ,7,stable,2.0 
"Whatcom County, Washington(7)",53073,Urban,19.8 ,54,rising,1.6 
"Rains County, Texas(7)",48379,Rural,19.8 ,4,*,*
"Clarion County, Pennsylvania(6)",42031,Rural,19.8 ,10,stable,3.9 
"Anderson County, Kentucky(7)",21005,Rural,19.8 ,6,stable,3.2 
"Polk County, Oregon(6)",41053,Urban,19.8 ,20,stable,1.4 
"Loudon County, Tennessee(6)",47105,Urban,19.8 ,17,stable,1.7 
"Midland County, Texas(7)",48329,Urban,19.8 ,30,stable,1.6 
"Madison County, Ohio(6)",39097,Urban,19.8 ,11,stable,-12.7 
"Hampton City, Virginia(6)",51650,Urban,19.8 ,32,stable,1.0 
"Whitley County, Kentucky(7)",21235,Rural,19.8 ,8,stable,2.0 
"Monroe County, New York(7)",36055,Urban,19.8 ,188,stable,0.7 
"Titus County, Texas(7)",48449,Rural,19.8 ,6,stable,0.4 
"Lee County, Illinois(7)",17103,Rural,19.8 ,9,stable,1.7 
"Caledonia County, Vermont(6)",50005,Rural,19.8 ,9,stable,3.0 
"Lafayette County, Missouri(6)",29107,Urban,19.8 ,9,stable,1.4 
"St. Clair County, Alabama(6)",1115,Urban,19.7 ,23,stable,1.3 
"Canadian County, Oklahoma(6)",40017,Urban,19.7 ,32,stable,0.0 
"Oktibbeha County, Mississippi(6)",28105,Rural,19.7 ,8,stable,-2.5 
"Morrow County, Ohio(6)",39117,Urban,19.7 ,9,stable,2.7 
"Robertson County, Texas(7)",48395,Urban,19.7 ,5,stable,1.4 
"Jefferson County, Iowa(7)",19101,Rural,19.7 ,4,*,*
"Cleveland County, Oklahoma(6)",40027,Urban,19.7 ,61,rising,1.2 
"Carroll County, Maryland(6)",24013,Urban,19.7 ,44,stable,1.6 
"Goochland County, Virginia(6)",51075,Urban,19.7 ,9,*,*
"Logan County, Oklahoma(6)",40083,Urban,19.7 ,13,stable,0.4 
"Price County, Wisconsin(6)",55099,Rural,19.7 ,5,stable,1.8 
"Black Hawk County, Iowa(7)",19013,Urban,19.7 ,30,rising,2.9 
"Concordia Parish, Louisiana(7)",22029,Rural,19.7 ,4,*,*
"Grant County, Washington(6)",53025,Rural,19.7 ,20,rising,3.0 
"Morgan County, West Virginia(6)",54065,Urban,19.7 ,5,*,*
"Lawrence County, Alabama(6)",1079,Urban,19.7 ,9,rising,7.5 
"Isabella County, Michigan(6)",26073,Rural,19.6 ,12,stable,2.4 
"Fayette County, Pennsylvania(6)",42051,Urban,19.6 ,37,stable,1.0 
"Montgomery County, Kentucky(7)",21173,Rural,19.6 ,7,rising,5.3 
"Lucas County, Ohio(6)",39095,Urban,19.6 ,104,stable,1.5 
"Franklin County, Washington(6)",53021,Urban,19.6 ,16,stable,1.8 
"Mathews County, Virginia(6)",51115,Urban,19.6 ,3,*,*
"Houston County, Minnesota(6)",27055,Urban,19.6 ,6,stable,3.4 
"Tooele County, Utah(7)",49045,Urban,19.6 ,12,*,*
"Lincoln Parish, Louisiana(7)",22061,Rural,19.6 ,9,stable,-6.8 
"Madera County, California(7)",6039,Urban,19.6 ,32,rising,2.0 
"Rensselaer County, New York(7)",36083,Urban,19.6 ,41,stable,-1.3 
"Ontario County, New York(7)",36069,Urban,19.6 ,30,stable,0.6 
"Saginaw County, Michigan(6)",26145,Urban,19.6 ,49,stable,1.1 
"Louisa County, Virginia(6)",51109,Rural,19.6 ,11,stable,1.2 
"Harnett County, North Carolina(6)",37085,Rural,19.6 ,27,rising,2.7 
"Cedar County, Iowa(7)",19031,Rural,19.6 ,5,*,*
"Henrico County, Virginia(6)",51087,Urban,19.6 ,79,stable,2.1 
"Duval County, Florida(6)",12031,Urban,19.6 ,218,rising,1.7 
"Emanuel County, Georgia(7)",13107,Rural,19.6 ,5,*,*
"Morgan County, Alabama(6)",1103,Urban,19.5 ,30,stable,1.6 
"Carroll County, New Hampshire(6)",33003,Rural,19.5 ,15,stable,13.2 
"Eddy County, New Mexico(7)",35015,Rural,19.5 ,14,rising,3.0 
"Pickens County, South Carolina(6)",45077,Urban,19.5 ,29,stable,0.7 
"Whitfield County, Georgia(7)",13313,Urban,19.5 ,22,rising,4.3 
"Lee County, Mississippi(6)",28081,Rural,19.5 ,19,stable,1.1 
"Bradford County, Pennsylvania(6)",42015,Rural,19.5 ,17,stable,1.6 
"King George County, Virginia(6)",51099,Rural,19.5 ,6,*,*
"Autauga County, Alabama(6)",1001,Urban,19.5 ,14,stable,2.2 
"Blount County, Tennessee(6)",47009,Urban,19.5 ,38,stable,1.4 
"Bryan County, Oklahoma(6)",40013,Rural,19.5 ,10,stable,1.7 
"Madison County, Alabama(6)",1089,Urban,19.5 ,89,rising,2.1 
"Genesee County, New York(7)",36037,Rural,19.5 ,17,stable,1.3 
"Boone County, Missouri(6)",29019,Urban,19.5 ,34,rising,2.2 
"Rutherford County, Tennessee(6)",47149,Urban,19.5 ,60,stable,-6.7 
"Cass County, Illinois(7)",17017,Rural,19.5 ,3,*,*
"Pope County, Arkansas(6)",5115,Rural,19.5 ,14,stable,2.2 
"Jefferson County, Illinois(7)",17081,Rural,19.5 ,9,stable,1.0 
"Richland County, Ohio(6)",39139,Urban,19.5 ,32,rising,3.7 
"Boone County, Kentucky(7)",21015,Urban,19.4 ,30,stable,0.5 
"Polk County, Missouri(6)",29167,Urban,19.4 ,7,stable,-2.7 
"Windham County, Vermont(6)",50025,Rural,19.4 ,12,stable,1.9 
"Seneca County, Ohio(6)",39147,Rural,19.4 ,13,stable,1.2 
"Santa Cruz County, Arizona(6)",4023,Rural,19.4 ,11,stable,0.8 
"McDowell County, West Virginia(6)",54047,Rural,19.4 ,6,stable,0.8 
"Douglas County, Nebraska(6)",31055,Urban,19.4 ,118,stable,1.0 
"White County, Arkansas(6)",5145,Rural,19.4 ,18,stable,0.6 
"Columbia County, Florida(6)",12023,Rural,19.4 ,18,stable,0.9 
"Lake County, California(7)",6033,Rural,19.4 ,18,stable,2.0 
"Decatur County, Georgia(7)",13087,Rural,19.4 ,7,stable,0.5 
"Lee County, North Carolina(6)",37105,Rural,19.3 ,15,stable,1.1 
"Ste. Genevieve County, Missouri(6)",29186,Rural,19.3 ,5,*,*
"Grays Harbor County, Washington(7)",53027,Rural,19.3 ,22,rising,2.0 
"Yates County, New York(7)",36123,Rural,19.3 ,6,stable,1.6 
"Brazos County, Texas(7)",48041,Urban,19.3 ,33,stable,-0.6 
"Newaygo County, Michigan(6)",26123,Rural,19.3 ,12,stable,2.1 
"Coos County, New Hampshire(6)",33007,Rural,19.3 ,10,*,*
"Lorain County, Ohio(6)",39093,Urban,19.3 ,79,rising,1.9 
"Bannock County, Idaho(7)",16005,Urban,19.3 ,18,rising,2.8 
"Vinton County, Ohio(6)",39163,Rural,19.3 ,3,*,*
"Pike County, Mississippi(6)",28113,Rural,19.3 ,10,stable,1.9 
"Sevier County, Tennessee(6)",47155,Rural,19.3 ,26,stable,0.6 
"Sanilac County, Michigan(6)",26151,Rural,19.3 ,11,stable,3.3 
"Berkeley County, West Virginia(6)",54003,Urban,19.3 ,27,stable,0.0 
"Greenup County, Kentucky(7)",21089,Urban,19.3 ,10,stable,0.8 
"Flathead County, Montana(6)",30029,Rural,19.3 ,28,stable,1.3 
"Kern County, California(7)",6029,Urban,19.3 ,163,stable,2.0 
"Ward County, North Dakota(6)",38101,Urban,19.3 ,13,stable,0.5 
"Becker County, Minnesota(6)",27005,Rural,19.3 ,9,*,*
"Prince George County, Virginia(6)",51149,Urban,19.3 ,8,stable,1.9 
"Rockwall County, Texas(7)",48397,Urban,19.3 ,21,stable,0.0 
"Yuma County, Arizona(6)",4027,Urban,19.2 ,47,rising,2.5 
"Nassau County, Florida(6)",12089,Urban,19.2 ,26,stable,1.8 
"Stanislaus County, California(7)",6099,Urban,19.2 ,109,rising,2.2 
"Stearns County, Minnesota(6)",27145,Urban,19.2 ,33,stable,0.7 
"Columbia County, Wisconsin(6)",55021,Urban,19.2 ,15,stable,-3.9 
"Susquehanna County, Pennsylvania(6)",42115,Rural,19.2 ,11,rising,3.9 
